Type,Numéro,Alias,Alias structuré,Libellé,Compte provisoire 2014,Budget voté 2015,2016,2017,2018,2019,Mention
Article,12.250,125 12250,12.5.12.250,Participation de l'Etat aux frais de fonctionnement: frais d'exploitation courants,1 116 916,1 258 582,1 270 000,1 191 000,1 050 000,905 000,
Article,12.270,125 12270,12.5.12.270,"Entretien, exploitation et location d'immeubles, dépenses diverses",,,1 724 050,1 830 000,1 838 000,1 896 000,Crédit sans distinction d'exercice
Article,12.310,125 12310,12.5.12.310,"Participation de l'Etat aux frais de fonctionnement: part dans les frais du centre d'informatique, d'affiliation et de perception des cotisations commun aux institutions de la sécurité sociale",3 181 666,3 541 000,3 581 000,3 628 000,3 682 000,3 745 000,Crédit non limitatif et sans distinction d'exercice
Article,41.010,125 41010,12.5.41.010,Financement des programmes et projets de recherche entrepris en collaboration avec les centres de recherche publics,4 876,87 750,58 500,30 000,30 000,5 000,
Article,42.000,125 42000,12.5.42.000,Participation de l'Etat au financement des allocations familiales: contribution de l'Etat,324 004 771,100,327 052 000,329 964 000,334 130 000,336 907 000,Crédit non limitatif et sans distinction d'exercice
Article,42.001,125 42001,12.5.42.001,Prise en charge par l'Etat des allocations de naissance: allocations prénatales; allocations de naissance proprement dites et allocations postnatales,12 031 049,100,12 174 000,12 280 000,12 410 000,12 526 000,Crédit non limitatif et sans distinction d'exercice
Article,42.002,125 42002,12.5.42.002,Prise en charge par l'Etat des allocations de maternité,3 852 471,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,42.003,125 42003,12.5.42.003,"Dotation de la CNPF, future ""Zukunftskeess"", au titre de la participation de l'Etat au financement des prestations familiales et autres mesures",,991 878 333,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,42.004,125 42004,12.5.42.004,Prise en charge par l'Etat de l'allocation de rentrée scolaire,36 164 430,100,37 160 000,37 649 000,38 081 000,38 554 000,Crédit non limitatif et sans distinction d'exercice
Article,42.005,125 42005,12.5.42.005,Prise en charge par l'Etat de l'allocation d'éducation,70 312 015,100,29 050 000,11 134 000,2 600 000,234 000,Crédit non limitatif et sans distinction d'exercice
Article,42.006,125 42006,12.5.42.006,"Versement par l'Etat des cotisations dues pour le financement des allocations familiales au titre de l'article 12 de la loi du 17.6.1994 fixant les mesures en vue d'assurer le maintien de l'emploi, la stabilité des prix et la compétivité des entreprises",242 079 369,100,256 961 000,265 846 000,275 675 000,284 388 000,Crédit non limitatif et sans distinction d'exercice
Article,42.007,125 42007,12.5.42.007,Participation de l'Etat au financement des allocations familiales au titre de l'article 22 de la loi modifiée du 19 juin 1985 concernant les allocations familiales et portant création de la caisse nationale des prestations familiales,69 877 000,100,32 336 000,11 591 000,,,Crédit non limitatif et sans distinction d'exercice
Article,42.008,125 42008,12.5.42.008,Prise en charge par l'Etat des indemnités pour le congé parental,61 002 276,100,65 157 000,66 223 000,67 444 000,67 910 000,Crédit non limitatif et sans distinction d'exercice
Article,42.009,125 42009,12.5.42.009,Prise en charge par l'Etat du boni pour enfants,220 422 849,100,224 410 000,226 423 000,228 459 000,230 517 000,Crédit non limitatif et sans distinction d'exercice
Article,42.011,125 42011,12.5.42.011,Versement par l'Etat des cotisations dues pour le financement des allocations familiales au titre de la loi du 12 février 1999 concernant la mise en oeuvre du plan d'action national en faveur de l'emploi 1998,8 707 359,100,9 244 000,9 564 000,9 918 000,10 232 000,Crédit non limitatif et sans distinction d'exercice
Section,12.6,126,12.6,Service d'action socio-familiale.Personnes âgées,9 832 275,0,0,,,,
Article,12.140,126 12140,12.6.12.140,Publication du programme national d'actions en faveur des seniors,,0,0,,,,
Article,12.301,126 12301,12.6.12.301,Institut de Gérontologie: frais de fonctionnement; indemnités des conférenciers; acquisition d'équipements et de matériel didactique; frais de publication; publicité; dépenses diverses,20 313,0,0,,,,
Article,12.302,126 12302,12.6.12.302,"Plan d'action ""maladies démentielles""",21 827,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.303,126 12303,12.6.12.303,Lëtzebuerger Senioren-Academie:frais de fonctionnement; indemnités des conférenciers; acquisitions d'équipements et de matériel didactique; frais de publication; publicité; dépenses diverses,19 027,0,0,,,,
Article,12.305,126 12305,12.6.12.305,"""Senioren Telefon"" formation et supervision; publicité; documentation et équipement divers requis, dépenses diverses",8 944,0,0,,,,
Article,33.001,126 33001,12.6.33.001,"Participation de l'Etat aux frais du projet ""Nuetswaach""",293 636,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,33.010,126 33010,12.6.33.010,Participation de l'Etat aux frais de gestionnaires privés pour promouvoir la création et le fonctionnement de services pour personnes âgées,6 863 996,0,0,,,,
Article,33.013,126 33013,12.6.33.013,Participation de l'Etat au prix d'équilibre à payer par les usagers âgés et/ou dépendants dont les ressources s'avèrent insuffisantes dans les services de maintien à domicile,1 574 317,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,33.014,126 33014,12.6.33.014,"Subsides à des organismes privés développant: 1) des mesures d'initiation aux technologies modernes de communication; frais de connexion et frais divers 2) des projets contribuant à la participation, à l'intégration et à la citoyenneté des personnes âgées",8 770,0,0,,,,
Article,33.015,126 33015,12.6.33.015,Subsides à des services pour personnes âgées intervenant au niveau de l'entraide,55 175,0,0,,,,
Article,33.016,126 33016,12.6.33.016,"Participation de l'Etat à la mise en place d'un plan d'action ""maladies démentielles""",11 942,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,33.019,126 33019,12.6.33.019,Participation de l'Etat aux frais de la prise en charge de personnes en fin de vie aussi bien au niveau du maintien à domicile qu'en centres d'accueil pour personnes en fin de vie,399 300,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,33.020,126 33020,12.6.33.020,Participation de l'Etat aux frais liés à l'organisation de formations professionnelles continues en soins palliatifs,262 825,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,43.000,126 43000,12.6.43.000,"Subsides pour l'élaboration et la mise en oeuvre de projets ""Plan communal Senior""",,0,0,,,,
Article,43.040,126 43040,12.6.43.040,Participation de l'Etat aux frais de communes et aux frais d'établissements publics gérés par des communes pour promouvoir la création et le fonctionnement de services pour personnes âgées,292 203,0,0,,,,
Section,12.7,127,12.7,Service national d'action sociale,4 497 449,4 801 287,4 918 523,5 108 788,5 261 551,5 421 825,
Article,11.000,127 11000,12.7.11.000,Traitements des fonctionnaires,775 973,937 556,830 512,846 816,865 731,897 900,Crédit non limitatif et sans distinction d'exercice
Article,11.010,127 11010,12.7.11.010,Indemnités des employés occupés à titre permanent,361 219,391 927,436 293,444 869,454 806,471 705,Crédit non limitatif et sans distinction d'exercice
Article,11.020,127 11020,12.7.11.020,Indemnités des employés occupés à titre temporaire,120 851,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,11.030,127 11030,12.7.11.030,Salaires des salariés occupés à titre permanent,17 622,18 944,19 295,19 671,20 110,20 858,Crédit non limitatif et sans distinction d'exercice
Article,11.040,127 11040,12.7.11.040,Salaires des salariés occupés à titre temporaire,0,100,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,11.100,127 11100,12.7.11.100,Indemnités d'habillement,61,63,62,63,64,65,Crédit sans distinction d'exercice
Article,12.010,127 12010,12.7.12.010,Frais de route et de séjour,2 009,2 000,2 000,2 000,2 000,2 000,
Article,12.040,127 12040,12.7.12.040,Frais de bureau,762,0,0,,,,
Article,12.050,127 12050,12.7.12.050,Achat de biens et de services postaux et de télécommunications,227,0,0,,,,
Article,12.110,127 12110,12.7.12.110,Frais de contentieux,7 879,100,100,100,100,100,Crédit non limitatif
Article,12.120,127 12120,12.7.12.120,Frais d'experts et d'études,311,1 555,1 545,1 564,1 590,1 610,
Article,12.121,127 12121,12.7.12.121,Frais d'experts et d'études; développement système de gestion dans le cadre de la loi du 29 avril 1999 portant création d'un droit à un revenu minimum garanti,,,100,100,100,100,Crédit non limitatif et sans distinction d'exercice
Article,12.150,127 12150,12.7.12.150,Frais d'expertises médicales effectuées sur demande du service national de santé au travail et/ou du contrôle médical de la sécurité sociale,339,2 541,2 525,2 500,2 500,2 500,Crédit non limitatif et sans distinction d'exercice
Article,12.170,127 12170,12.7.12.170,Acquisition et entretien de petit outillage et d'équipements spéciaux de faible valeur,,0,0,,,,
Article,12.260,127 12260,12.7.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,2 193,2 200,2 200,2 200,2 200,
Article,12.310,127 12310,12.7.12.310,Frais de gestion des indemnités d'insertion allouées aux personnes soumises aux activités d'insertion professionnelle prévues à l'article 10 de la loi du 29 avril 1999 portant création d'un droit à un revenu minimum garanti,161 853,166 103,167 029,173 592,176 616,178 704,Crédit non limitatif
Article,33.000,127 33000,12.7.33.000,Participation aux frais de fonctionnement de services d'action sociale en exécution de l'article 38 de la loi du 29 avril 1999 portant création d'un droit à un revenu minimum garanti,3 048 343,3 278 105,3 364 662,3 615 113,3 735 534,3 843 883,
Article,41.010,127 41010,12.7.41.010,Financement des programmes et projets de recherche entrepris en collaboration avec les centres de recherche publics,,,92 000,,,,
Section,12.8,128,12.8,Grande Région,265 855,219 200,291 500,361 845,367 240,272 680,
Article,12.012,128 12012,12.8.12.012,Frais de route et de séjour à l'étranger,470,1 700,1 500,1 500,1 500,1 500,Crédit non limitatif et sans distinction d'exercice
Article,12.040,128 12040,12.8.12.040,Frais de bureau,741,1 500,0,0,0,0,
Article,12.080,128 12080,12.8.12.080,Bâtiments: exploitation et entretien,53 582,0,0,0,0,0,Crédit non limitatif
Article,12.120,128 12120,12.8.12.120,Frais d'experts et d'études,,0,0,,,,Crédit non limitatif et sans distinction d'exercice
Article,12.260,128 12260,12.8.12.260,Frais d'exploitation et frais administratifs; dépenses diverses,,,1 000,1 015,1 030,1 045,
Article,12.270,128 12270,12.8.12.270,"Entretien, exploitation et location d'immeubles, dépenses diverses",,,38 000,39 330,40 710,42 135,Crédit non limitatif et sans distinction d'exercice
Article,12.320,128 12320,12.8.12.320,Frais de fonctionnement du secrétariat permanent et commun du Comité Economique et Social de la Grande Région,45 105,50 000,50 000,50 000,50 000,50 000,
Article,35.065,128 35065,12.8.35.065,Participation à des actions menées dans le cadre de la coopération transfrontalière de proximité,165 957,166 000,201 000,270 000,274 000,178 000,Crédit non limitatif et sans distinction d'exercice
Département,13,13,13,Ministère des Sports,18 097 620,19 152 923,19 238 938,20 365 560,20 918 111,21 344 809,
Section,13.0,130,13.0,Sports.- Dépenses générales,9 009 568,9 559 391,9 740 702,10 615 728,10 774 997,10 966 715,
Article,11.000,130 11000,13.0.11.000,Traitements des fonctionnaires,162 555,299 293,301 244,307 144,314 004,325 673,Crédit non limitatif et sans distinction d'exercice
